n,k,S,pow2gap
39,13,60,0
45,15,69,0
51,17,78,1
57,19,87,1
62,21,93,0
63,21,96,2
68,23,102,1
69,23,105,2
74,25,111,1
75,25,114,2
80,27,120,2
80,30,108,2
81,27,123,2
86,29,129,2
87,29,132,3
87,33,116,2
92,31,138,3
93,31,141,3
95,30,152,2
95,38,120,0
98,33,147,3
99,33,150,4
104,35,156,4
104,39,140,4
105,35,159,4
110,37,165,3
111,37,168,5
111,42,148,2
115,46,145,0
116,39,174,4
117,39,177,5
120,44,165,1
122,41,183,4
123,41,186,5
124,50,155,0
125,45,175,1
128,43,192,5
128,48,172,4
129,43,195,5
132,42,209,3
134,45,201,5
135,45,204,6
135,51,180,4
135,54,170,1
140,47,210,6
141,47,213,6
143,52,198,2
144,45,232,3
144,58,180,1
144,60,174,2
146,49,219,6
147,49,222,7
152,51,228,7
152,57,204,6
153,51,231,7
153,63,187,0
155,62,195,1
158,53,237,7
159,53,240,8
159,60,212,6
160,56,230,2
161,63,207,1
164,55,246,7
164,66,205,1
165,55,249,8
169,65,221,2
170,57,255,7
171,57,258,8
175,55,280,3
175,56,275,4
175,70,220,2
176,59,264,8
176,66,236,8
177,59,267,8
182,61,273,8
183,61,276,9
183,69,244,6
184,74,230,2
188,63,282,9
189,63,285,9
194,65,291,9
195,65,294,10
195,70,273,2
195,78,245,2
200,67,300,10
200,75,268,8
