n=39, k=13, S=60, p=[2^9 3^2 5 10 ], NoSolutionStrategy3
n=39, k=13, S=60, p=[2^9 3^2 6 9 ], NoSolutionStrategy3
n=39, k=13, S=60, p=[2^9 3^2 7 8 ], NoSolutionStrategy3
n=45, k=15, S=69, p=[2^10 3^3 5 11 ], NoSolutionStrategy3
n=45, k=15, S=69, p=[2^10 3^3 6 10 ], NoSolutionStrategy3
n=45, k=15, S=69, p=[2^10 3^3 7 9 ], NoSolutionStrategy3
n=45, k=15, S=69, p=[2^10 3^3 8^2 ], NoSolutionStrategy3
n=51, k=17, S=78, p=[2^12 3^2 4 5 12 ], NoSolutionStrategy3
n=51, k=17, S=78, p=[2^12 3^2 4 6 11 ], NoSolutionStrategy3
n=51, k=17, S=78, p=[2^12 3^2 4 7 10 ], NoSolutionStrategy3
n=51, k=17, S=78, p=[2^12 3^2 4 8 9 ], NoSolutionStrategy3
n=51, k=17, S=78, p=[2^12 3^2 5^2 11 ], NoSolutionStrategy3
n=51, k=17, S=78, p=[2^12 3^2 5 6 10 ], NoSolutionStrategy3
n=51, k=17, S=78, p=[2^12 3^2 5 7 9 ], NoSolutionStrategy3
n=51, k=17, S=78, p=[2^12 3^2 5 8^2 ], NoSolutionStrategy3
n=51, k=17, S=78, p=[2^12 3^2 6^2 9 ], NoSolutionStrategy3
n=51, k=17, S=78, p=[2^12 3^2 6 7 8 ], NoSolutionStrategy3
n=51, k=17, S=78, p=[2^12 3^2 7^3 ], NoSolutionStrategy3
n=51, k=17, S=78, p=[2^11 3^4 5 12 ], NoSolutionStrategy3
n=51, k=17, S=78, p=[2^11 3^4 6 11 ], NoSolutionStrategy3
n=51, k=17, S=78, p=[2^11 3^4 7 10 ], NoSolutionStrategy3
n=51, k=17, S=78, p=[2^11 3^4 8 9 ], NoSolutionStrategy3
n=57, k=19, S=87, p=[2^13 3^3 4 6 12 ], NoSolutionStrategy3
n=57, k=19, S=87, p=[2^13 3^3 4 7 11 ], NoSolutionStrategy3
n=57, k=19, S=87, p=[2^13 3^3 4 8 10 ], NoSolutionStrategy3
n=57, k=19, S=87, p=[2^13 3^3 4 9^2 ], NoSolutionStrategy3
n=57, k=19, S=87, p=[2^13 3^3 5^2 12 ], NoSolutionStrategy3
n=57, k=19, S=87, p=[2^13 3^3 5 6 11 ], NoSolutionStrategy3
n=57, k=19, S=87, p=[2^13 3^3 5 7 10 ], NoSolutionStrategy3
n=57, k=19, S=87, p=[2^13 3^3 5 8 9 ], NoSolutionStrategy3
n=57, k=19, S=87, p=[2^13 3^3 6^2 10 ], NoSolutionStrategy3
n=57, k=19, S=87, p=[2^13 3^3 6 7 9 ], NoSolutionStrategy3
n=57, k=19, S=87, p=[2^13 3^3 6 8^2 ], NoSolutionStrategy3
n=57, k=19, S=87, p=[2^13 3^3 7^2 8 ], NoSolutionStrategy3
n=57, k=19, S=87, p=[2^12 3^5 6 12 ], NoSolutionStrategy3
n=57, k=19, S=87, p=[2^12 3^5 7 11 ], NoSolutionStrategy3
