n=39, k=13, S=60, p=[2^9 3^2], Criterion 1
n=45, k=15, S=69, p=[2^10 3^3], Criterion 1
n=51, k=17, S=78, p=[2^12 3^2], Criterion 1
n=51, k=17, S=78, p=[2^11 3^4], Criterion 1
n=57, k=19, S=87, p=[2^13 3^3], Criterion 1
n=57, k=19, S=87, p=[2^12 3^5], Criterion 1
n=62, k=21, S=93, p=[2^15 3^3], Criterion 1
n=63, k=21, S=96, p=[2^15 3^2], Criterion 1
n=63, k=21, S=96, p=[2^14 3^4], Criterion 1
n=63, k=21, S=96, p=[2^13 3^6], Criterion 1
n=68, k=23, S=102, p=[2^17 3^2], Criterion 1
n=68, k=23, S=102, p=[2^16 3^4], Criterion 1
n=69, k=23, S=105, p=[2^16 3^3], Criterion 1
n=69, k=23, S=105, p=[2^15 3^5], Criterion 1
n=69, k=23, S=105, p=[2^14 3^7], Criterion 1
n=74, k=25, S=111, p=[2^18 3^3], Criterion 1
n=74, k=25, S=111, p=[2^17 3^5], Criterion 1
n=75, k=25, S=114, p=[2^18 3^2], Criterion 1
n=75, k=25, S=114, p=[2^17 3^4], Criterion 1
n=75, k=25, S=114, p=[2^16 3^6], Criterion 1
n=80, k=27, S=120, p=[2^20 3^2], Criterion 1
n=80, k=27, S=120, p=[2^19 3^4], Criterion 1
n=80, k=27, S=120, p=[2^18 3^6], Criterion 1
n=80, k=30, S=108, p=[2^26 4^2], Criterion 1
n=80, k=30, S=108, p=[2^25 3^2 4], Criterion 2
n=80, k=30, S=108, p=[2^25 4^4], Criterion 1
n=80, k=30, S=108, p=[2^24 3^2], Criterion 2
n=81, k=27, S=123, p=[2^19 3^3], Criterion 1
n=81, k=27, S=123, p=[2^18 3^5], Criterion 1
n=81, k=27, S=123, p=[2^17 3^7], Criterion 1
n=86, k=29, S=129, p=[2^21 3^3], Criterion 1
n=86, k=29, S=129, p=[2^20 3^5], Criterion 1
n=86, k=29, S=129, p=[2^19 3^7], Criterion 1
n=87, k=29, S=132, p=[2^21 3^2], Criterion 1
n=87, k=29, S=132, p=[2^20 3^4], Criterion 1
n=87, k=29, S=132, p=[2^19 3^6], Criterion 1
n=87, k=29, S=132, p=[2^18 3^8], Criterion 1
n=87, k=33, S=116, p=[2^29 4^2], Criterion 1
n=87, k=33, S=116, p=[2^28 3^2 4], Criterion 2
n=87, k=33, S=116, p=[2^27 3^2], Criterion 2
n=92, k=31, S=138, p=[2^23 3^2], Criterion 1
n=92, k=31, S=138, p=[2^22 3^4], Criterion 1
n=92, k=31, S=138, p=[2^21 3^6], Criterion 1
n=92, k=31, S=138, p=[2^20 3^8], Criterion 1
n=93, k=31, S=141, p=[2^22 3^3], Criterion 1
n=93, k=31, S=141, p=[2^21 3^5], Criterion 1
n=93, k=31, S=141, p=[2^20 3^7], Criterion 1
n=93, k=31, S=141, p=[2^19 3^9], Criterion 1
n=95, k=30, S=152, p=[2^19 3^5], Criterion 1
n=95, k=30, S=152, p=[2^18 3^7], Criterion 1
n=95, k=30, S=152, p=[2^17 3^9], Criterion 1
n=95, k=38, S=120, p=[2^35 5^2], Criterion 1
n=98, k=33, S=147, p=[2^24 3^3], Criterion 1
n=98, k=33, S=147, p=[2^23 3^5], Criterion 1
n=98, k=33, S=147, p=[2^22 3^7], Criterion 1
n=98, k=33, S=147, p=[2^21 3^9], Criterion 1
n=99, k=33, S=150, p=[2^24 3^2], Criterion 1
n=99, k=33, S=150, p=[2^23 3^4], Criterion 1
n=99, k=33, S=150, p=[2^22 3^6], Criterion 1
n=99, k=33, S=150, p=[2^21 3^8], Criterion 1
n=99, k=33, S=150, p=[2^20 3^10], Criterion 1
n=104, k=35, S=156, p=[2^26 3^2], Criterion 1
n=104, k=35, S=156, p=[2^25 3^4], Criterion 1
n=104, k=35, S=156, p=[2^24 3^6], Criterion 1
n=104, k=35, S=156, p=[2^23 3^8], Criterion 1
n=104, k=35, S=156, p=[2^22 3^10], Criterion 1
n=104, k=39, S=140, p=[2^34 4^2], Criterion 1
n=104, k=39, S=140, p=[2^33 3^2 4], Criterion 2
n=104, k=39, S=140, p=[2^33 3 4^3], Criterion 12
n=104, k=39, S=140, p=[2^33 4^4], Criterion 1
n=104, k=39, S=140, p=[2^32 3^2], Criterion 2
n=104, k=39, S=140, p=[2^32 4^6], Criterion 1
n=104, k=39, S=140, p=[2^31 3^5 4], Criterion 2
n=104, k=39, S=140, p=[2^30 3^2], Criterion 2
n=105, k=35, S=159, p=[2^25 3^3], Criterion 1
n=105, k=35, S=159, p=[2^24 3^5], Criterion 1
n=105, k=35, S=159, p=[2^23 3^7], Criterion 1
n=105, k=35, S=159, p=[2^22 3^9], Criterion 1
n=105, k=35, S=159, p=[2^21 3^11], Criterion 1
n=110, k=37, S=165, p=[2^27 3^3], Criterion 1
n=110, k=37, S=165, p=[2^26 3^5], Criterion 1
n=110, k=37, S=165, p=[2^25 3^7], Criterion 1
n=110, k=37, S=165, p=[2^24 3^9], Criterion 1
n=111, k=37, S=168, p=[2^27 3^2], Criterion 1
n=111, k=37, S=168, p=[2^26 3^4], Criterion 1
n=111, k=37, S=168, p=[2^25 3^6], Criterion 1
n=111, k=37, S=168, p=[2^24 3^8], Criterion 1
n=111, k=37, S=168, p=[2^23 3^10], Criterion 1
n=111, k=37, S=168, p=[2^22 3^12], Criterion 1
n=111, k=42, S=148, p=[2^37 4^2], Criterion 1
n=111, k=42, S=148, p=[2^36 3^2 4], Criterion 2
n=111, k=42, S=148, p=[2^36 4^4], Criterion 1
n=111, k=42, S=148, p=[2^35 3^2], Criterion 2
n=115, k=46, S=145, p=[2^42 5^3], Criterion 1
n=116, k=39, S=174, p=[2^29 3^2], Criterion 1
n=116, k=39, S=174, p=[2^28 3^4], Criterion 1
n=116, k=39, S=174, p=[2^27 3^6], Criterion 1
n=116, k=39, S=174, p=[2^26 3^8], Criterion 1
n=116, k=39, S=174, p=[2^25 3^10], Criterion 1
n=117, k=39, S=177, p=[2^28 3^3], Criterion 1
n=117, k=39, S=177, p=[2^27 3^5], Criterion 1
n=117, k=39, S=177, p=[2^26 3^7], Criterion 1
n=117, k=39, S=177, p=[2^25 3^9], Criterion 1
n=117, k=39, S=177, p=[2^24 3^11], Criterion 1
n=117, k=39, S=177, p=[2^23 3^13], Criterion 1
n=120, k=44, S=165, p=[2^37 4^4], Criterion 1
