n=80, k=30, S=108, p=[2^25 3^2 4], Criterion 2
n=80, k=30, S=108, p=[2^24 3^4], Criterion 2
n=87, k=33, S=116, p=[2^28 3^2 4], Criterion 2
n=87, k=33, S=116, p=[2^27 3^4], Criterion 2
n=104, k=39, S=140, p=[2^33 3^2 4], Criterion 2
n=104, k=39, S=140, p=[2^33 3 4^3], Criterion 12
n=104, k=39, S=140, p=[2^32 3^4], Criterion 2
n=104, k=39, S=140, p=[2^32 3^3 4^2], Criterion 2
n=104, k=39, S=140, p=[2^31 3^5 4], Criterion 2
n=104, k=39, S=140, p=[2^30 3^7], Criterion 2
n=111, k=42, S=148, p=[2^36 3^2 4], Criterion 2
n=111, k=42, S=148, p=[2^35 3^4], Criterion 2
n=128, k=48, S=172, p=[2^41 3^2 4], Criterion 2
n=128, k=48, S=172, p=[2^41 3 4^3], Criterion 12
n=128, k=48, S=172, p=[2^40 3^4], Criterion 2
n=128, k=48, S=172, p=[2^40 3^3 4^2], Criterion 2
n=128, k=48, S=172, p=[2^40 3 4^5], Criterion 12
n=128, k=48, S=172, p=[2^39 3^5 4], Criterion 2
n=128, k=48, S=172, p=[2^38 3^7], Criterion 2
n=135, k=51, S=180, p=[2^44 3^2 4], Criterion 2
n=135, k=51, S=180, p=[2^44 3 4^3], Criterion 12
n=135, k=51, S=180, p=[2^43 3^4], Criterion 2
n=135, k=51, S=180, p=[2^43 3^3 4^2], Criterion 2
n=135, k=51, S=180, p=[2^43 3 4^5], Criterion 12
n=135, k=51, S=180, p=[2^42 3^5 4], Criterion 2
n=135, k=51, S=180, p=[2^41 3^7], Criterion 2
n=144, k=60, S=174, p=[2^56 4^2 6], Criterion 2
n=144, k=60, S=174, p=[2^55 4^4], Criterion 2
n=152, k=57, S=204, p=[2^49 3^2 4], Criterion 2
n=152, k=57, S=204, p=[2^49 3 4^3], Criterion 12
n=152, k=57, S=204, p=[2^48 3^4], Criterion 2
n=152, k=57, S=204, p=[2^48 3^3 4^2], Criterion 2
n=152, k=57, S=204, p=[2^48 3^2 4^4], Criterion 12
n=152, k=57, S=204, p=[2^48 3 4^5], Criterion 12
n=152, k=57, S=204, p=[2^47 3^5 4], Criterion 2
n=152, k=57, S=204, p=[2^47 3^4 4^3], Criterion 2
n=152, k=57, S=204, p=[2^47 3^2 4^6], Criterion 12
n=152, k=57, S=204, p=[2^47 3 4^7], Criterion 12
n=152, k=57, S=204, p=[2^46 3^7], Criterion 2
n=152, k=57, S=204, p=[2^46 3^6 4^2], Criterion 2
n=152, k=57, S=204, p=[2^45 3^8 4], Criterion 2
n=152, k=57, S=204, p=[2^44 3^10], Criterion 2
n=159, k=60, S=212, p=[2^52 3^2 4], Criterion 2
n=159, k=60, S=212, p=[2^52 3 4^3], Criterion 12
n=159, k=60, S=212, p=[2^51 3^4], Criterion 2
n=159, k=60, S=212, p=[2^51 3^3 4^2], Criterion 2
n=159, k=60, S=212, p=[2^51 3^2 4^4], Criterion 12
n=159, k=60, S=212, p=[2^51 3 4^5], Criterion 12
n=159, k=60, S=212, p=[2^50 3^5 4], Criterion 2
n=159, k=60, S=212, p=[2^50 3^4 4^3], Criterion 2
n=159, k=60, S=212, p=[2^50 3 4^7], Criterion 12
n=159, k=60, S=212, p=[2^49 3^7], Criterion 2
n=159, k=60, S=212, p=[2^49 3^6 4^2], Criterion 2
n=159, k=60, S=212, p=[2^48 3^8 4], Criterion 2
n=159, k=60, S=212, p=[2^47 3^10], Criterion 2
n=175, k=70, S=220, p=[2^64 3 5^3], Criterion 12
n=176, k=66, S=236, p=[2^57 3^2 4], Criterion 12
n=176, k=66, S=236, p=[2^57 3 4^3], Criterion 12
n=176, k=66, S=236, p=[2^56 3^4], Criterion 2
n=176, k=66, S=236, p=[2^56 3^3 4^2], Criterion 2
n=176, k=66, S=236, p=[2^56 3^2 4^4], Criterion 12
n=176, k=66, S=236, p=[2^56 3 4^5], Criterion 12
n=176, k=66, S=236, p=[2^55 3^6], Criterion 2
n=176, k=66, S=236, p=[2^55 3^5 4], Criterion 2
n=176, k=66, S=236, p=[2^55 3^4 4^3], Criterion 2
n=176, k=66, S=236, p=[2^55 3^3 4^5], Criterion 12
n=176, k=66, S=236, p=[2^55 3^2 4^6], Criterion 12
n=176, k=66, S=236, p=[2^55 3 4^7], Criterion 12
n=176, k=66, S=236, p=[2^54 3^7], Criterion 2
n=176, k=66, S=236, p=[2^54 3^6 4^2], Criterion 2
n=176, k=66, S=236, p=[2^54 3^5 4^4], Criterion 2
n=176, k=66, S=236, p=[2^54 3^2 4^8], Criterion 12
n=176, k=66, S=236, p=[2^54 3 4^9], Criterion 12
n=176, k=66, S=236, p=[2^53 3^8 4], Criterion 2
n=176, k=66, S=236, p=[2^53 3^7 4^3], Criterion 2
n=176, k=66, S=236, p=[2^52 3^10], Criterion 2
n=176, k=66, S=236, p=[2^52 3^9 4^2], Criterion 2
n=176, k=66, S=236, p=[2^51 3^11 4], Criterion 2
n=176, k=66, S=236, p=[2^50 3^13], Criterion 2
n=183, k=69, S=244, p=[2^60 3^2 4], Criterion 2
n=183, k=69, S=244, p=[2^60 3 4^3], Criterion 12
n=183, k=69, S=244, p=[2^59 3^4], Criterion 2
n=183, k=69, S=244, p=[2^59 3^3 4^2], Criterion 2
n=183, k=69, S=244, p=[2^59 3^2 4^4], Criterion 12
n=183, k=69, S=244, p=[2^59 3 4^5], Criterion 12
n=183, k=69, S=244, p=[2^58 3^5 4], Criterion 2
n=183, k=69, S=244, p=[2^58 3^4 4^3], Criterion 2
n=183, k=69, S=244, p=[2^58 3^2 4^6], Criterion 12
n=183, k=69, S=244, p=[2^58 3 4^7], Criterion 12
n=183, k=69, S=244, p=[2^57 3^7], Criterion 2
n=183, k=69, S=244, p=[2^57 3^6 4^2], Criterion 2
n=183, k=69, S=244, p=[2^57 3 4^9], Criterion 12
n=183, k=69, S=244, p=[2^56 3^8 4], Criterion 2
n=183, k=69, S=244, p=[2^55 3^10], Criterion 2
n=200, k=75, S=268, p=[2^65 3^2 4], Criterion 12
n=200, k=75, S=268, p=[2^65 3 4^3], Criterion 12
n=200, k=75, S=268, p=[2^64 3^4], Criterion 2
n=200, k=75, S=268, p=[2^64 3^3 4^2], Criterion 12
n=200, k=75, S=268, p=[2^64 3^2 4^4], Criterion 12
n=200, k=75, S=268, p=[2^64 3 4^5], Criterion 12
n=200, k=75, S=268, p=[2^63 3^6], Criterion 2
n=200, k=75, S=268, p=[2^63 3^5 4], Criterion 2
n=200, k=75, S=268, p=[2^63 3^4 4^3], Criterion 2
n=200, k=75, S=268, p=[2^63 3^3 4^5], Criterion 12
n=200, k=75, S=268, p=[2^63 3^2 4^6], Criterion 12
n=200, k=75, S=268, p=[2^63 3 4^7], Criterion 12
n=200, k=75, S=268, p=[2^62 3^7], Criterion 2
n=200, k=75, S=268, p=[2^62 3^6 4^2], Criterion 2
n=200, k=75, S=268, p=[2^62 3^5 4^4], Criterion 2
n=200, k=75, S=268, p=[2^62 3^3 4^7], Criterion 12
n=200, k=75, S=268, p=[2^62 3^2 4^8], Criterion 12
n=200, k=75, S=268, p=[2^62 3 4^9], Criterion 12
n=200, k=75, S=268, p=[2^61 3^9], Criterion 2
n=200, k=75, S=268, p=[2^61 3^8 4], Criterion 2
n=200, k=75, S=268, p=[2^61 3^7 4^3], Criterion 2
n=200, k=75, S=268, p=[2^61 3^2 4^10], Criterion 12
n=200, k=75, S=268, p=[2^61 3 4^11], Criterion 12
n=200, k=75, S=268, p=[2^60 3^10], Criterion 2
n=200, k=75, S=268, p=[2^60 3^9 4^2], Criterion 2
n=200, k=75, S=268, p=[2^59 3^11 4], Criterion 2
n=200, k=75, S=268, p=[2^58 3^13], Criterion 2
